FileName,ArgumentsPerOperation,AveragePathLength,BiggestRootCoverage,DataWeight,DistinctMessageRatio,LackOfMessageLevelCohesion,LongestPath,NumberOfRootPaths,ServiceInterfaceDataCohesion,WeightedServiceInterfaceCount,ApiFormat
amazonaws.com-AWSMigrationHub-2017-05-31-swagger.yaml.json,9,1,0.0625,296,0.1642,0.3863,1,16,1,16,openapi
amazonaws.com-backup-2018-11-15-swagger.yaml.json,9.4884,2.6333,0.3488,556,0.2281,0.6727,5,8,1,43,openapi
amazonaws.com-batch-2016-08-10-swagger.yaml.json,8.5,2,1,216,0.3906,0.7524,2,1,1,16,openapi
amazonaws.com-budgets-2016-10-20-swagger.yaml.json,9,1,0.0714,228,0.2118,0.7164,1,14,1,14,openapi
amazonaws.com-ce-2017-10-25-swagger.yaml.json,9,1,0.1111,182,0.3265,0.6593,1,9,1,9,openapi
amazonaws.com-chime-2018-05-01-swagger.yaml.json,9.3793,2.7778,0.4828,728,0.1272,0.6653,5,8,1,58,openapi
amazonaws.com-cloud9-2017-09-23-swagger.yaml.json,9.4,1,0.1,125,0.1667,0.6388,1,10,1,10,openapi
amazonaws.com-clouddirectory-2016-05-10-swagger.yaml.json,9.4462,4.0159,1,1326,0.1186,0.5176,5,1,1,65,openapi
amazonaws.com-clouddirectory-2017-01-11-swagger.yaml.json,9.4545,4.0156,1,762,0.1154,0.6792,5,1,1,66,openapi
amazonaws.com-cloudformation-2010-05-15-swagger.yaml.json,11.7333,1,0.0222,1370,0.34,0.6589,1,45,0.6477,90,openapi
amazonaws.com-cloudfront-2016-11-25-swagger.yaml.json,8.8889,3.0588,1,633,0.1119,0.6279,5,1,1,27,openapi
amazonaws.com-cloudfront-2017-03-25-swagger.yaml.json,8.8571,3.0556,1,651,0.1107,0.6238,5,1,1,28,openapi
amazonaws.com-cloudfront-2017-10-30-swagger.yaml.json,8.8,3.0385,1,952,0.113,0.613,5,1,1,45,openapi
amazonaws.com-cloudfront-2018-06-18-swagger.yaml.json,8.8,3.0385,1,635,0.113,0.6579,5,1,1,45,openapi
amazonaws.com-cloudfront-2018-11-05-swagger.yaml.json,8.8,3.0385,1,638,0.1122,0.6572,5,1,1,45,openapi
amazonaws.com-cloudfront-2019-03-26-swagger.yaml.json,8.8,3.0385,1,645,0.1122,0.6566,5,1,1,45,openapi
amazonaws.com-cloudhsm-2014-05-30-swagger.yaml.json,9,1,0.05,284,0.3265,0.4426,1,20,1,20,openapi
amazonaws.com-cloudhsmv2-2017-04-28-swagger.yaml.json,9.4615,1,0.0769,199,0.2444,0.6459,1,13,1,13,openapi
amazonaws.com-cloudsearch-2011-02-01-swagger.yaml.json,10.4091,1,0.0455,668,0.1991,0.3552,1,22,1,44,openapi
amazonaws.com-cloudsearch-2013-01-01-swagger.yaml.json,10.7708,1,0.0417,751,0.2328,0.4624,1,24,1,48,openapi
